Variety,Year,Site,County,Region,Yield
TAVERN,2002,Laurencekirk,Aberdeenshire,North,NA
CELLAR,2002,Laurencekirk,Aberdeenshire,North,5.02
CHALICE,2002,Laurencekirk,Aberdeenshire,North,5.25
DECANTER,2002,Laurencekirk,Aberdeenshire,North,4.89
OPTIC,2002,Laurencekirk,Aberdeenshire,North,4.7
COLSTON,2002,Laurencekirk,Aberdeenshire,North,5.28
VORTEX,2002,Laurencekirk,Aberdeenshire,North,4.93
SEBASTIAN,2002,Laurencekirk,Aberdeenshire,North,5.12
NOVELLO,2002,Laurencekirk,Aberdeenshire,North,4.82
COCKTAIL,2002,Laurencekirk,Aberdeenshire,North,5.46
BARKE,2002,Laurencekirk,Aberdeenshire,North,4.44
PRESTIGE,2002,Laurencekirk,Aberdeenshire,North,5.03
SPIRE,2002,Laurencekirk,Aberdeenshire,North,5.32
COUNTY,2002,Laurencekirk,Aberdeenshire,North,5.19
STATIC,2002,Laurencekirk,Aberdeenshire,North,5.24
PEWTER,2002,Laurencekirk,Aberdeenshire,North,4.57
RIVIERA,2002,Laurencekirk,Aberdeenshire,North,4.76
KIRSTY,2002,Laurencekirk,Aberdeenshire,North,5.64
GLOBAL,2002,Laurencekirk,Aberdeenshire,North,5.02
TAVERN,2002,Inverurie,Aberdeenshire,North,6.32
CELLAR,2002,Inverurie,Aberdeenshire,North,6.27
CHALICE,2002,Inverurie,Aberdeenshire,North,5.91
DECANTER,2002,Inverurie,Aberdeenshire,North,5.92
OPTIC,2002,Inverurie,Aberdeenshire,North,5.67
COLSTON,2002,Inverurie,Aberdeenshire,North,6.16
VORTEX,2002,Inverurie,Aberdeenshire,North,6.38
SEBASTIAN,2002,Inverurie,Aberdeenshire,North,6.68
NOVELLO,2002,Inverurie,Aberdeenshire,North,6.18
COCKTAIL,2002,Inverurie,Aberdeenshire,North,6.72
BARKE,2002,Inverurie,Aberdeenshire,North,5.39
PRESTIGE,2002,Inverurie,Aberdeenshire,North,6.36
SPIRE,2002,Inverurie,Aberdeenshire,North,6.32
COUNTY,2002,Inverurie,Aberdeenshire,North,6.25
STATIC,2002,Inverurie,Aberdeenshire,North,6.23
PEWTER,2002,Inverurie,Aberdeenshire,North,6.22
RIVIERA,2002,Inverurie,Aberdeenshire,North,6.46
KIRSTY,2002,Inverurie,Aberdeenshire,North,6.61
GLOBAL,2002,Inverurie,Aberdeenshire,North,6.65
TAVERN,2002,Elgin,Moray,North,NA
CELLAR,2002,Elgin,Moray,North,8.96
CHALICE,2002,Elgin,Moray,North,8.97
DECANTER,2002,Elgin,Moray,North,8.04
OPTIC,2002,Elgin,Moray,North,8.68
COLSTON,2002,Elgin,Moray,North,8.53
VORTEX,2002,Elgin,Moray,North,8.62
SEBASTIAN,2002,Elgin,Moray,North,8.73
NOVELLO,2002,Elgin,Moray,North,8.62
COCKTAIL,2002,Elgin,Moray,North,8.09
BARKE,2002,Elgin,Moray,North,8.05
PRESTIGE,2002,Elgin,Moray,North,8.75
SPIRE,2002,Elgin,Moray,North,8.75
COUNTY,2002,Elgin,Moray,North,8.24
STATIC,2002,Elgin,Moray,North,8.61
PEWTER,2002,Elgin,Moray,North,8.58
RIVIERA,2002,Elgin,Moray,North,8.66
KIRSTY,2002,Elgin,Moray,North,8.86
GLOBAL,2002,Elgin,Moray,North,9.04
TAVERN,2002,Coupar Angus,Perth and Kinross,North,NA
CELLAR,2002,Coupar Angus,Perth and Kinross,North,5.63
CHALICE,2002,Coupar Angus,Perth and Kinross,North,5.51
DECANTER,2002,Coupar Angus,Perth and Kinross,North,5.37
OPTIC,2002,Coupar Angus,Perth and Kinross,North,5.56
COLSTON,2002,Coupar Angus,Perth and Kinross,North,5.96
VORTEX,2002,Coupar Angus,Perth and Kinross,North,6.19
SEBASTIAN,2002,Coupar Angus,Perth and Kinross,North,5.74
NOVELLO,2002,Coupar Angus,Perth and Kinross,North,5.4
COCKTAIL,2002,Coupar Angus,Perth and Kinross,North,6.28
BARKE,2002,Coupar Angus,Perth and Kinross,North,5.43
PRESTIGE,2002,Coupar Angus,Perth and Kinross,North,5.87
SPIRE,2002,Coupar Angus,Perth and Kinross,North,5.58
COUNTY,2002,Coupar Angus,Perth and Kinross,North,5.88
STATIC,2002,Coupar Angus,Perth and Kinross,North,5.39
PEWTER,2002,Coupar Angus,Perth and Kinross,North,5.74
RIVIERA,2002,Coupar Angus,Perth and Kinross,North,5.84
KIRSTY,2002,Coupar Angus,Perth and Kinross,North,5.96
GLOBAL,2002,Coupar Angus,Perth and Kinross,North,6.18
TAVERN,2002,Perth,Perth and Kinross,North,5.84
CELLAR,2002,Perth,Perth and Kinross,North,5.98
CHALICE,2002,Perth,Perth and Kinross,North,5.93
DECANTER,2002,Perth,Perth and Kinross,North,6.15
OPTIC,2002,Perth,Perth and Kinross,North,5.86
COLSTON,2002,Perth,Perth and Kinross,North,6.07
VORTEX,2002,Perth,Perth and Kinross,North,6.34
SEBASTIAN,2002,Perth,Perth and Kinross,North,6.31
NOVELLO,2002,Perth,Perth and Kinross,North,6.28
COCKTAIL,2002,Perth,Perth and Kinross,North,6.39
BARKE,2002,Perth,Perth and Kinross,North,5.51
PRESTIGE,2002,Perth,Perth and Kinross,North,6.34
SPIRE,2002,Perth,Perth and Kinross,North,6.45
COUNTY,2002,Perth,Perth and Kinross,North,6.05
STATIC,2002,Perth,Perth and Kinross,North,6.41
PEWTER,2002,Perth,Perth and Kinross,North,5.74
RIVIERA,2002,Perth,Perth and Kinross,North,6.35
KIRSTY,2002,Perth,Perth and Kinross,North,6.53
GLOBAL,2002,Perth,Perth and Kinross,North,6.45
TAVERN,2002,St Andrews,Fife,North,NA
CELLAR,2002,St Andrews,Fife,North,5.32
CHALICE,2002,St Andrews,Fife,North,5.8
DECANTER,2002,St Andrews,Fife,North,5.57
OPTIC,2002,St Andrews,Fife,North,5.67
COLSTON,2002,St Andrews,Fife,North,5.45
VORTEX,2002,St Andrews,Fife,North,5.77
SEBASTIAN,2002,St Andrews,Fife,North,6.15
NOVELLO,2002,St Andrews,Fife,North,6.03
COCKTAIL,2002,St Andrews,Fife,North,6.01
BARKE,2002,St Andrews,Fife,North,5.47
PRESTIGE,2002,St Andrews,Fife,North,5.97
SPIRE,2002,St Andrews,Fife,North,5.82
COUNTY,2002,St Andrews,Fife,North,5.98
STATIC,2002,St Andrews,Fife,North,5.73
PEWTER,2002,St Andrews,Fife,North,5.43
RIVIERA,2002,St Andrews,Fife,North,6.29
KIRSTY,2002,St Andrews,Fife,North,5.99
GLOBAL,2002,St Andrews,Fife,North,5.99
TAVERN,2002,Edinburgh,City of Edinburgh,North,7.51
CELLAR,2002,Edinburgh,City of Edinburgh,North,7.44
CHALICE,2002,Edinburgh,City of Edinburgh,North,7.57
DECANTER,2002,Edinburgh,City of Edinburgh,North,7.34
OPTIC,2002,Edinburgh,City of Edinburgh,North,7.83
COLSTON,2002,Edinburgh,City of Edinburgh,North,7.52
VORTEX,2002,Edinburgh,City of Edinburgh,North,7.51
SEBASTIAN,2002,Edinburgh,City of Edinburgh,North,7.49
NOVELLO,2002,Edinburgh,City of Edinburgh,North,7.54
COCKTAIL,2002,Edinburgh,City of Edinburgh,North,7.81
BARKE,2002,Edinburgh,City of Edinburgh,North,7.26
PRESTIGE,2002,Edinburgh,City of Edinburgh,North,7.39
SPIRE,2002,Edinburgh,City of Edinburgh,North,7.95
COUNTY,2002,Edinburgh,City of Edinburgh,North,7.67
STATIC,2002,Edinburgh,City of Edinburgh,North,7.53
PEWTER,2002,Edinburgh,City of Edinburgh,North,7.38
RIVIERA,2002,Edinburgh,City of Edinburgh,North,7.57
KIRSTY,2002,Edinburgh,City of Edinburgh,North,7.81
GLOBAL,2002,Edinburgh,City of Edinburgh,North,7.54
TAVERN,2002,Coldstream,Scottish Borders,North,NA
CELLAR,2002,Coldstream,Scottish Borders,North,6.3
CHALICE,2002,Coldstream,Scottish Borders,North,5.97
DECANTER,2002,Coldstream,Scottish Borders,North,6.22
OPTIC,2002,Coldstream,Scottish Borders,North,6.18
COLSTON,2002,Coldstream,Scottish Borders,North,6.01
VORTEX,2002,Coldstream,Scottish Borders,North,6.59
SEBASTIAN,2002,Coldstream,Scottish Borders,North,6.8
NOVELLO,2002,Coldstream,Scottish Borders,North,6.5
COCKTAIL,2002,Coldstream,Scottish Borders,North,6.33
BARKE,2002,Coldstream,Scottish Borders,North,5.82
PRESTIGE,2002,Coldstream,Scottish Borders,North,6.41
SPIRE,2002,Coldstream,Scottish Borders,North,6.7
COUNTY,2002,Coldstream,Scottish Borders,North,6.44
STATIC,2002,Coldstream,Scottish Borders,North,6.37
PEWTER,2002,Coldstream,Scottish Borders,North,6.06
RIVIERA,2002,Coldstream,Scottish Borders,North,6.59
KIRSTY,2002,Coldstream,Scottish Borders,North,6.48
GLOBAL,2002,Coldstream,Scottish Borders,North,6.44
TAVERN,2002,Morpeth,Northumberland,North,6.53
CELLAR,2002,Morpeth,Northumberland,North,6.17
CHALICE,2002,Morpeth,Northumberland,North,6.17
DECANTER,2002,Morpeth,Northumberland,North,6.17
OPTIC,2002,Morpeth,Northumberland,North,6.6
COLSTON,2002,Morpeth,Northumberland,North,6.38
VORTEX,2002,Morpeth,Northumberland,North,6.83
SEBASTIAN,2002,Morpeth,Northumberland,North,6.2
NOVELLO,2002,Morpeth,Northumberland,North,6.27
COCKTAIL,2002,Morpeth,Northumberland,North,6.81
BARKE,2002,Morpeth,Northumberland,North,5.82
PRESTIGE,2002,Morpeth,Northumberland,North,6.2
SPIRE,2002,Morpeth,Northumberland,North,6.45
COUNTY,2002,Morpeth,Northumberland,North,6.59
STATIC,2002,Morpeth,Northumberland,North,6.29
PEWTER,2002,Morpeth,Northumberland,North,6.03
RIVIERA,2002,Morpeth,Northumberland,North,6.17
KIRSTY,2002,Morpeth,Northumberland,North,6.39
GLOBAL,2002,Morpeth,Northumberland,North,6.35
TAVERN,2002,Rudston,East Yorkshire,East,5.97
CELLAR,2002,Rudston,East Yorkshire,East,6.54
CHALICE,2002,Rudston,East Yorkshire,East,5.52
DECANTER,2002,Rudston,East Yorkshire,East,6.02
OPTIC,2002,Rudston,East Yorkshire,East,5.33
COLSTON,2002,Rudston,East Yorkshire,East,6.09
VORTEX,2002,Rudston,East Yorkshire,East,6.2
SEBASTIAN,2002,Rudston,East Yorkshire,East,5.64
NOVELLO,2002,Rudston,East Yorkshire,East,6
COCKTAIL,2002,Rudston,East Yorkshire,East,6.08
BARKE,2002,Rudston,East Yorkshire,East,5.19
PRESTIGE,2002,Rudston,East Yorkshire,East,6.01
SPIRE,2002,Rudston,East Yorkshire,East,5.56
COUNTY,2002,Rudston,East Yorkshire,East,5.95
STATIC,2002,Rudston,East Yorkshire,East,5.76
PEWTER,2002,Rudston,East Yorkshire,East,5.58
RIVIERA,2002,Rudston,East Yorkshire,East,5.1
KIRSTY,2002,Rudston,East Yorkshire,East,5.56
GLOBAL,2002,Rudston,East Yorkshire,East,6
TAVERN,2002,Horncastle,Lincolnshire,East,8.07
CELLAR,2002,Horncastle,Lincolnshire,East,7.92
CHALICE,2002,Horncastle,Lincolnshire,East,7.59
DECANTER,2002,Horncastle,Lincolnshire,East,7.08
OPTIC,2002,Horncastle,Lincolnshire,East,7.19
COLSTON,2002,Horncastle,Lincolnshire,East,7.6
VORTEX,2002,Horncastle,Lincolnshire,East,8.04
SEBASTIAN,2002,Horncastle,Lincolnshire,East,7.62
NOVELLO,2002,Horncastle,Lincolnshire,East,7.11
COCKTAIL,2002,Horncastle,Lincolnshire,East,8
BARKE,2002,Horncastle,Lincolnshire,East,6.32
PRESTIGE,2002,Horncastle,Lincolnshire,East,7.58
SPIRE,2002,Horncastle,Lincolnshire,East,7.67
COUNTY,2002,Horncastle,Lincolnshire,East,7.45
STATIC,2002,Horncastle,Lincolnshire,East,7.82
PEWTER,2002,Horncastle,Lincolnshire,East,7.6
RIVIERA,2002,Horncastle,Lincolnshire,East,6.76
KIRSTY,2002,Horncastle,Lincolnshire,East,7.09
GLOBAL,2002,Horncastle,Lincolnshire,East,7.08
TAVERN,2002,Wymondham,Norfolk,East,8.34
CELLAR,2002,Wymondham,Norfolk,East,8.11
CHALICE,2002,Wymondham,Norfolk,East,7.91
DECANTER,2002,Wymondham,Norfolk,East,7.75
OPTIC,2002,Wymondham,Norfolk,East,7.93
COLSTON,2002,Wymondham,Norfolk,East,7.95
VORTEX,2002,Wymondham,Norfolk,East,8.12
SEBASTIAN,2002,Wymondham,Norfolk,East,8.61
NOVELLO,2002,Wymondham,Norfolk,East,8.07
COCKTAIL,2002,Wymondham,Norfolk,East,8.5
BARKE,2002,Wymondham,Norfolk,East,6.8
PRESTIGE,2002,Wymondham,Norfolk,East,8.04
SPIRE,2002,Wymondham,Norfolk,East,8.55
COUNTY,2002,Wymondham,Norfolk,East,8.02
STATIC,2002,Wymondham,Norfolk,East,8.23
PEWTER,2002,Wymondham,Norfolk,East,8.16
RIVIERA,2002,Wymondham,Norfolk,East,7.66
KIRSTY,2002,Wymondham,Norfolk,East,7.89
GLOBAL,2002,Wymondham,Norfolk,East,7.55
TAVERN,2002,Otley,Suffolk,East,7.83
CELLAR,2002,Otley,Suffolk,East,7.86
CHALICE,2002,Otley,Suffolk,East,7.4
DECANTER,2002,Otley,Suffolk,East,7.66
OPTIC,2002,Otley,Suffolk,East,7.43
COLSTON,2002,Otley,Suffolk,East,7.72
VORTEX,2002,Otley,Suffolk,East,8.04
SEBASTIAN,2002,Otley,Suffolk,East,7.78
NOVELLO,2002,Otley,Suffolk,East,7.23
COCKTAIL,2002,Otley,Suffolk,East,8.14
BARKE,2002,Otley,Suffolk,East,6.8
PRESTIGE,2002,Otley,Suffolk,East,7.63
SPIRE,2002,Otley,Suffolk,East,7.91
COUNTY,2002,Otley,Suffolk,East,7.93
STATIC,2002,Otley,Suffolk,East,7.6
PEWTER,2002,Otley,Suffolk,East,7.67
RIVIERA,2002,Otley,Suffolk,East,7.49
KIRSTY,2002,Otley,Suffolk,East,7.67
GLOBAL,2002,Otley,Suffolk,East,7.39
TAVERN,2002,Winchester,Hampshire,West,7.82
CELLAR,2002,Winchester,Hampshire,West,7.58
CHALICE,2002,Winchester,Hampshire,West,7.17
DECANTER,2002,Winchester,Hampshire,West,6.95
OPTIC,2002,Winchester,Hampshire,West,7.18
COLSTON,2002,Winchester,Hampshire,West,7.37
VORTEX,2002,Winchester,Hampshire,West,7.52
SEBASTIAN,2002,Winchester,Hampshire,West,8.07
NOVELLO,2002,Winchester,Hampshire,West,7.29
COCKTAIL,2002,Winchester,Hampshire,West,7.86
BARKE,2002,Winchester,Hampshire,West,6.07
PRESTIGE,2002,Winchester,Hampshire,West,7.45
SPIRE,2002,Winchester,Hampshire,West,7.8
COUNTY,2002,Winchester,Hampshire,West,7.93
STATIC,2002,Winchester,Hampshire,West,7.4
PEWTER,2002,Winchester,Hampshire,West,7.66
RIVIERA,2002,Winchester,Hampshire,West,6.83
KIRSTY,2002,Winchester,Hampshire,West,7.19
GLOBAL,2002,Winchester,Hampshire,West,6.86
TAVERN,2002,Warminster,Wiltshire,West,6.94
CELLAR,2002,Warminster,Wiltshire,West,5.99
CHALICE,2002,Warminster,Wiltshire,West,6.13
DECANTER,2002,Warminster,Wiltshire,West,6.02
OPTIC,2002,Warminster,Wiltshire,West,6.46
COLSTON,2002,Warminster,Wiltshire,West,6.58
VORTEX,2002,Warminster,Wiltshire,West,6.68
SEBASTIAN,2002,Warminster,Wiltshire,West,6.62
NOVELLO,2002,Warminster,Wiltshire,West,6.29
COCKTAIL,2002,Warminster,Wiltshire,West,6.43
BARKE,2002,Warminster,Wiltshire,West,5.9
PRESTIGE,2002,Warminster,Wiltshire,West,5.66
SPIRE,2002,Warminster,Wiltshire,West,6.86
COUNTY,2002,Warminster,Wiltshire,West,7.13
STATIC,2002,Warminster,Wiltshire,West,6.04
PEWTER,2002,Warminster,Wiltshire,West,6.3
RIVIERA,2002,Warminster,Wiltshire,West,6.6
KIRSTY,2002,Warminster,Wiltshire,West,6.31
GLOBAL,2002,Warminster,Wiltshire,West,6.11
TAVERN,2002,Totnes,Devon,West,6.29
CELLAR,2002,Totnes,Devon,West,5.14
CHALICE,2002,Totnes,Devon,West,4.54
DECANTER,2002,Totnes,Devon,West,5.27
OPTIC,2002,Totnes,Devon,West,4.61
COLSTON,2002,Totnes,Devon,West,5.67
VORTEX,2002,Totnes,Devon,West,5.96
SEBASTIAN,2002,Totnes,Devon,West,5.54
NOVELLO,2002,Totnes,Devon,West,5.86
COCKTAIL,2002,Totnes,Devon,West,5.92
BARKE,2002,Totnes,Devon,West,4.34
PRESTIGE,2002,Totnes,Devon,West,5.36
SPIRE,2002,Totnes,Devon,West,5.31
COUNTY,2002,Totnes,Devon,West,6.45
STATIC,2002,Totnes,Devon,West,5.48
PEWTER,2002,Totnes,Devon,West,6.42
RIVIERA,2002,Totnes,Devon,West,6.51
KIRSTY,2002,Totnes,Devon,West,5.18
GLOBAL,2002,Totnes,Devon,West,4.87
TAVERN,2002,Wadebridge,Cornwall,West,5.04
CELLAR,2002,Wadebridge,Cornwall,West,4.65
CHALICE,2002,Wadebridge,Cornwall,West,4.41
DECANTER,2002,Wadebridge,Cornwall,West,4.89
OPTIC,2002,Wadebridge,Cornwall,West,4.26
COLSTON,2002,Wadebridge,Cornwall,West,4.59
VORTEX,2002,Wadebridge,Cornwall,West,5.26
SEBASTIAN,2002,Wadebridge,Cornwall,West,5.05
NOVELLO,2002,Wadebridge,Cornwall,West,4.93
COCKTAIL,2002,Wadebridge,Cornwall,West,5.32
BARKE,2002,Wadebridge,Cornwall,West,3.48
PRESTIGE,2002,Wadebridge,Cornwall,West,4.66
SPIRE,2002,Wadebridge,Cornwall,West,5.14
COUNTY,2002,Wadebridge,Cornwall,West,5.12
STATIC,2002,Wadebridge,Cornwall,West,4.97
PEWTER,2002,Wadebridge,Cornwall,West,4.95
RIVIERA,2002,Wadebridge,Cornwall,West,4.93
KIRSTY,2002,Wadebridge,Cornwall,West,4.77
GLOBAL,2002,Wadebridge,Cornwall,West,4.45
TAVERN,2002,Runcorn,Cheshire,West,NA
CELLAR,2002,Runcorn,Cheshire,West,6.43
CHALICE,2002,Runcorn,Cheshire,West,6.08
DECANTER,2002,Runcorn,Cheshire,West,6.03
OPTIC,2002,Runcorn,Cheshire,West,5.38
COLSTON,2002,Runcorn,Cheshire,West,6.04
VORTEX,2002,Runcorn,Cheshire,West,6.41
SEBASTIAN,2002,Runcorn,Cheshire,West,6.33
NOVELLO,2002,Runcorn,Cheshire,West,6.09
COCKTAIL,2002,Runcorn,Cheshire,West,6.72
BARKE,2002,Runcorn,Cheshire,West,5.18
PRESTIGE,2002,Runcorn,Cheshire,West,6.28
SPIRE,2002,Runcorn,Cheshire,West,5.96
COUNTY,2002,Runcorn,Cheshire,West,6.31
STATIC,2002,Runcorn,Cheshire,West,6.82
PEWTER,2002,Runcorn,Cheshire,West,6.48
RIVIERA,2002,Runcorn,Cheshire,West,6.06
KIRSTY,2002,Runcorn,Cheshire,West,6.12
GLOBAL,2002,Runcorn,Cheshire,West,5.86
TAVERN,2002,Ayr,South Ayrshire,West,NA
CELLAR,2002,Ayr,South Ayrshire,West,6.55
CHALICE,2002,Ayr,South Ayrshire,West,6.52
DECANTER,2002,Ayr,South Ayrshire,West,6.44
OPTIC,2002,Ayr,South Ayrshire,West,6.3
COLSTON,2002,Ayr,South Ayrshire,West,6.22
VORTEX,2002,Ayr,South Ayrshire,West,6.86
SEBASTIAN,2002,Ayr,South Ayrshire,West,6.93
NOVELLO,2002,Ayr,South Ayrshire,West,6.21
COCKTAIL,2002,Ayr,South Ayrshire,West,6.62
BARKE,2002,Ayr,South Ayrshire,West,6.02
PRESTIGE,2002,Ayr,South Ayrshire,West,6.58
SPIRE,2002,Ayr,South Ayrshire,West,6.82
COUNTY,2002,Ayr,South Ayrshire,West,6.53
STATIC,2002,Ayr,South Ayrshire,West,6.68
PEWTER,2002,Ayr,South Ayrshire,West,6.29
RIVIERA,2002,Ayr,South Ayrshire,West,7.07
KIRSTY,2002,Ayr,South Ayrshire,West,7.21
GLOBAL,2002,Ayr,South Ayrshire,West,6.67
TAVERN,2002,Annan,Dumfries and Galloway,West,NA
CELLAR,2002,Annan,Dumfries and Galloway,West,6.16
CHALICE,2002,Annan,Dumfries and Galloway,West,6.3
DECANTER,2002,Annan,Dumfries and Galloway,West,6.3
OPTIC,2002,Annan,Dumfries and Galloway,West,6.07
COLSTON,2002,Annan,Dumfries and Galloway,West,6.23
VORTEX,2002,Annan,Dumfries and Galloway,West,6.52
SEBASTIAN,2002,Annan,Dumfries and Galloway,West,6.51
NOVELLO,2002,Annan,Dumfries and Galloway,West,6.25
COCKTAIL,2002,Annan,Dumfries and Galloway,West,6.58
BARKE,2002,Annan,Dumfries and Galloway,West,6.01
PRESTIGE,2002,Annan,Dumfries and Galloway,West,6.6
SPIRE,2002,Annan,Dumfries and Galloway,West,6.7
COUNTY,2002,Annan,Dumfries and Galloway,West,6.39
STATIC,2002,Annan,Dumfries and Galloway,West,6.43
PEWTER,2002,Annan,Dumfries and Galloway,West,6.12
RIVIERA,2002,Annan,Dumfries and Galloway,West,6.96
KIRSTY,2002,Annan,Dumfries and Galloway,West,6.9
GLOBAL,2002,Annan,Dumfries and Galloway,West,6.19
TAVERN,2002,Crossnacreevy,Down,West,5.26
CELLAR,2002,Crossnacreevy,Down,West,5.7
CHALICE,2002,Crossnacreevy,Down,West,5.66
DECANTER,2002,Crossnacreevy,Down,West,5.42
OPTIC,2002,Crossnacreevy,Down,West,5.49
COLSTON,2002,Crossnacreevy,Down,West,5.63
VORTEX,2002,Crossnacreevy,Down,West,6.37
SEBASTIAN,2002,Crossnacreevy,Down,West,6.08
NOVELLO,2002,Crossnacreevy,Down,West,5.95
COCKTAIL,2002,Crossnacreevy,Down,West,6.19
BARKE,2002,Crossnacreevy,Down,West,5.16
PRESTIGE,2002,Crossnacreevy,Down,West,5.81
SPIRE,2002,Crossnacreevy,Down,West,5.77
COUNTY,2002,Crossnacreevy,Down,West,5.69
STATIC,2002,Crossnacreevy,Down,West,6.38
PEWTER,2002,Crossnacreevy,Down,West,5.58
RIVIERA,2002,Crossnacreevy,Down,West,6.84
KIRSTY,2002,Crossnacreevy,Down,West,6.26
GLOBAL,2002,Crossnacreevy,Down,West,6
TAVERN,2002,Limavady,Londonderry,West,NA
CELLAR,2002,Limavady,Londonderry,West,4.35
CHALICE,2002,Limavady,Londonderry,West,4.95
DECANTER,2002,Limavady,Londonderry,West,4.69
OPTIC,2002,Limavady,Londonderry,West,4.86
COLSTON,2002,Limavady,Londonderry,West,4.45
VORTEX,2002,Limavady,Londonderry,West,5.17
SEBASTIAN,2002,Limavady,Londonderry,West,4.95
NOVELLO,2002,Limavady,Londonderry,West,4.6
COCKTAIL,2002,Limavady,Londonderry,West,4.91
BARKE,2002,Limavady,Londonderry,West,4.16
PRESTIGE,2002,Limavady,Londonderry,West,4.81
SPIRE,2002,Limavady,Londonderry,West,5.52
COUNTY,2002,Limavady,Londonderry,West,5.05
STATIC,2002,Limavady,Londonderry,West,5.26
PEWTER,2002,Limavady,Londonderry,West,4.92
RIVIERA,2002,Limavady,Londonderry,West,4.74
KIRSTY,2002,Limavady,Londonderry,West,4.89
GLOBAL,2002,Limavady,Londonderry,West,4.85
COCKTAIL,2003,Tain,Highland,North,5.97
TROON,2003,Tain,Highland,North,5.85
CELLAR,2003,Tain,Highland,North,5.63
PRESTIGE,2003,Tain,Highland,North,5.74
OPTIC,2003,Tain,Highland,North,5.63
CHALICE,2003,Tain,Highland,North,5.63
DECANTER,2003,Tain,Highland,North,5.51
CARAFE,2003,Tain,Highland,North,5.8
TOBY,2003,Tain,Highland,North,5.45
DRUM,2003,Tain,Highland,North,6.26
BERYLLIUM,2003,Tain,Highland,North,6.26
SPIRE,2003,Tain,Highland,North,6.6
KIRSTY,2003,Tain,Highland,North,NA
STATIC,2003,Tain,Highland,North,6.08
RIVIERA,2003,Tain,Highland,North,5.68
DOYEN,2003,Tain,Highland,North,6.14
FELTWELL,2003,Tain,Highland,North,5.97
ATHENA,2003,Tain,Highland,North,6.31
REBECCA,2003,Tain,Highland,North,6.31
COCKTAIL,2003,Laurencekirk,Aberdeenshire,North,7.95
TROON,2003,Laurencekirk,Aberdeenshire,North,7.18
CELLAR,2003,Laurencekirk,Aberdeenshire,North,7.72
PRESTIGE,2003,Laurencekirk,Aberdeenshire,North,7.49
OPTIC,2003,Laurencekirk,Aberdeenshire,North,7.72
CHALICE,2003,Laurencekirk,Aberdeenshire,North,7.56
DECANTER,2003,Laurencekirk,Aberdeenshire,North,7.64
CARAFE,2003,Laurencekirk,Aberdeenshire,North,7.03
TOBY,2003,Laurencekirk,Aberdeenshire,North,7.41
DRUM,2003,Laurencekirk,Aberdeenshire,North,7.49
BERYLLIUM,2003,Laurencekirk,Aberdeenshire,North,7.72
SPIRE,2003,Laurencekirk,Aberdeenshire,North,8.17
KIRSTY,2003,Laurencekirk,Aberdeenshire,North,7.87
STATIC,2003,Laurencekirk,Aberdeenshire,North,7.41
RIVIERA,2003,Laurencekirk,Aberdeenshire,North,7.87
DOYEN,2003,Laurencekirk,Aberdeenshire,North,8.02
FELTWELL,2003,Laurencekirk,Aberdeenshire,North,7.95
ATHENA,2003,Laurencekirk,Aberdeenshire,North,7.95
REBECCA,2003,Laurencekirk,Aberdeenshire,North,8.02
COCKTAIL,2003,Inverurie,Aberdeenshire,North,8.61
TROON,2003,Inverurie,Aberdeenshire,North,7.81
CELLAR,2003,Inverurie,Aberdeenshire,North,8.13
PRESTIGE,2003,Inverurie,Aberdeenshire,North,7.97
OPTIC,2003,Inverurie,Aberdeenshire,North,7.97
CHALICE,2003,Inverurie,Aberdeenshire,North,7.81
DECANTER,2003,Inverurie,Aberdeenshire,North,7.89
CARAFE,2003,Inverurie,Aberdeenshire,North,7.41
TOBY,2003,Inverurie,Aberdeenshire,North,8.05
DRUM,2003,Inverurie,Aberdeenshire,North,8.05
BERYLLIUM,2003,Inverurie,Aberdeenshire,North,8.45
SPIRE,2003,Inverurie,Aberdeenshire,North,8.45
KIRSTY,2003,Inverurie,Aberdeenshire,North,NA
STATIC,2003,Inverurie,Aberdeenshire,North,8.29
RIVIERA,2003,Inverurie,Aberdeenshire,North,8.13
DOYEN,2003,Inverurie,Aberdeenshire,North,9.26
FELTWELL,2003,Inverurie,Aberdeenshire,North,8.77
ATHENA,2003,Inverurie,Aberdeenshire,North,8.29
REBECCA,2003,Inverurie,Aberdeenshire,North,8.37
COCKTAIL,2003,Coupar Angus,Perth and Kinross,North,6.4
TROON,2003,Coupar Angus,Perth and Kinross,North,6.27
CELLAR,2003,Coupar Angus,Perth and Kinross,North,6.34
PRESTIGE,2003,Coupar Angus,Perth and Kinross,North,6.53
OPTIC,2003,Coupar Angus,Perth and Kinross,North,6.53
CHALICE,2003,Coupar Angus,Perth and Kinross,North,5.95
DECANTER,2003,Coupar Angus,Perth and Kinross,North,6.34
CARAFE,2003,Coupar Angus,Perth and Kinross,North,6.02
TOBY,2003,Coupar Angus,Perth and Kinross,North,5.89
DRUM,2003,Coupar Angus,Perth and Kinross,North,6.46
BERYLLIUM,2003,Coupar Angus,Perth and Kinross,North,6.59
SPIRE,2003,Coupar Angus,Perth and Kinross,North,6.34
KIRSTY,2003,Coupar Angus,Perth and Kinross,North,NA
STATIC,2003,Coupar Angus,Perth and Kinross,North,6.59
RIVIERA,2003,Coupar Angus,Perth and Kinross,North,6.59
DOYEN,2003,Coupar Angus,Perth and Kinross,North,7.04
FELTWELL,2003,Coupar Angus,Perth and Kinross,North,6.46
ATHENA,2003,Coupar Angus,Perth and Kinross,North,7.1
